Date,SPY,QQQ,GLD,Equal Weight Portfolio
2021-11-05,0.11157436425513097,0.13817231084929807,0.12884936044159548,0.09147708956272009
2021-11-08,0.11157357036696487,0.1376652725081131,0.1289646548377045,0.09136541958336569
2021-11-09,0.11185885147374368,0.13851848890014032,0.12655144004837116,0.09120869395742275
2021-11-10,0.11318877488197474,0.1420558381525218,0.12815898347320878,0.09169520346456275
2021-11-11,0.11316939448414869,0.1420101172722943,0.12560397493117137,0.09106320084141804
2021-11-12,0.11395185151963232,0.14328367225723856,0.12533199438676518,0.09174698423374969
2021-11-15,0.11297770163296204,0.14188610401407467,0.1253357955855226,0.09084045708318784
2021-11-16,0.1105371669722279,0.14060972064937025,0.12633633207356043,0.08953644478448212
2021-11-17,0.1107616557475836,0.14046236351092983,0.12727711353458815,0.0895761739733674
2021-11-18,0.10998093076600383,0.14046304570287924,0.1275248506632388,0.08909425208543696
2021-11-19,0.10896065648473922,0.13803194824019038,0.12643591620263997,0.08639282476559484
2021-11-22,0.10919080543531856,0.1403755980520027,0.13441413486819792,0.09028058824386595
2021-11-23,0.10916308732893792,0.14082749533134542,0.1348193249297938,0.0906732262379565
2021-11-24,0.1083857810447409,0.14009908476157226,0.13481371636069978,0.09027517037888544
2021-11-26,0.11663787296685058,0.1446294580702443,0.1313282383863727,0.09254058125390083
2021-11-29,0.11878114768286833,0.14917998900522847,0.13100808892605653,0.09472524526938349
